deviceCategory,operatingSystem,campaign,medium,continent,Product,Product_Category
,,,,,Google Women's Short Sleeve V-Neck Tee Black,
,,,,,UFO Bluetooth Water Resistant Speaker,
,,,,,Set of 3 Nested Travel Cases,
,,,,,Google Women's 1/4 Zip Jacket Charcoal,
,,,,,Google Zipper-front Sports Bag,
,,,,,Insulated Bottle,
,,,,,Google Sunglasses,
,,,,,Large Zipper Top Tote Bag,
,,,,,Google Infant Zip Hood Pink,
,,,,,Android Infant Short Sleeve Tee Pewter,
,,,,,Google Toddler Short Sleeve Tee Red,
,,,,,Waze Baby on Board Window Decal,
,,,,,Waze Mood Original Window Decal,
,,,,,Google Men's Vintage Badge Tee White,
,,,,,Men's Softshell Jacket Black/Grey,
,,,,,Waze Dress Socks,
,,,,,Waze Women's Typography Short Sleeve Tee,
,,,,,Google Men's Long Sleeve Baseball Raglan Cranberry,
,,,,,Waterpoof Gear Bag,
,,,,,Compact Eco Journal,
,,,,,Blue Metallic Textured Spiral Notebook Set,
,,,,,Skyline Metro Mug,
,,,,,YouTube Player T-Shirt - Unisex,
,,,,,Mens Voyage Fleece Jacket,
,,,,,Google G Noise-reducing Bluetooth Headphones,
,,,,,Google Metallic Notebook Set,
,,,,,Google Men's Pullover Hoodie Grey,
,,,,,Rocket Flashlight,
,,,,,Google Men's Performance Polo Grey/Black,
,,,,,Nest® Protect Smoke + CO White Wired Alarm-USA,
,,,,,Android Men's Vintage Tank,
,,,,,Android Stretch Fit Hat S/M,
,,,,,Google Women's Performance Tee Gunmetal,
,,,,,24 oz YouTube Sergeant Stripe Bottle,
,,,,,Basecamp Explorer Powerbank Flashlight,
,,,,,YouTube Twill Cap,
,,,,,Google Men's Microfiber 1/4 Zip Pullover Blue/Indigo,
,,,,,Google Men's Short Sleeve Badge Tee Charcoal,
,,,,,24 oz USA Made Aluminum Bottle,
,,,,,Google PowerKit,
,,,,,Android Women's Racer Back Tank Black,
,,,,,Google Heavyweight Long Sleeve Hero Tee Burgundy,
,,,,,Crunch-It Dog Toy,
,,,,,Bic Intensity Clic Gel Pen,
,,,,,Solo Pro Backpack,
,,,,,Women's Weatherblock Shell Jacket Black,
,,,,,YouTube Ultimate Hooded Sweatshirt,
,,,,,Grey Heather Fleece Zip Hoodie,
,,,,,YouTube Spiral Journal with Pen,
,,,,,YouTube Men's Short Sleeve Hero Tee Black,
,,,,,Google Women's Fleece Hoodie,
,,,,,Google 22 oz Water Bottle,
,,,,,Google 2200mAh Micro Charger,
,,,,,Reusable Shopping Bag,
,,,,,Gift Card - $50.00,
,,,,,Google Women's Short Sleeve Hero Tee Heather,
,,,,,Google Infant Short Sleeve Tee Green,
,,,,,Google Men's Bayside Graphic Tee,
,,,,,Android Stretch Fit Hat M/L,
,,,,,Android 24 oz Button Lid Sport Water Bottle,
,,,,,Google 7-inch Dog Flying Disc Red,
,,,,,Google Women's Hero V-Neck Tee White,
,,,,,Mistral Rucksack,
,,,,,Speed Zone Air Mesh Tote,
,,,,,Google Flyers,
,,,,,YouTube Men's Short Sleeve Hero Tee Charcoal,
,,,,,Compact Selfie Stick,
,,,,,Google Water Resistant Bluetooth Speaker,
,,,,,Google Women's Yoga Pants,
,,,,,Google Women's Vintage Hero Tee Platinum,
,,,,,Android Men's Take Charge Short Sleeve Tee Purple,
,,,,,Google Sunglasses Green,
,,,,,Google Adult Tee Fruit Games Cherries,
,,,,,Women's Google Quillted Thermolite Vest,
,,,,,YouTube Organic Cotton T-Shirt - Grey,
,,,,,You Tube Toddler Short Sleeve Tee Red,
,,,,,YouTube Hard Cover Journal,
,,,,,Google Women's Short Sleeve Hero Tee Sky Blue,
,,,,,Google Power Bank,
,,,,,Google Women's Quilted Insulated Vest White,
,,,,,Google Youth Short Sleeve T-shirt Yellow,
,,,,,Yoga Block,
,,,,,Ballpoint Pen & Matching Tube Case,
,,,,,7&quot; Dog Frisbee,
,,,,,Grip Kit Cable Organizer,
,,,,,Google Badge Pull,
,,,,,8pc Android Sticker Sheet,
,,,,,Android Porcelain Mug,
,,,,,Vastrm Hoodie,
,,,,,Google Women's Softshell Jacket Black/Grey,
,,,,,Android Stretch Fit Hat,
,,,,,Google Stylus Pen w/ LED Light,
,,,,,Android Onesie Baby Blue,
,,,,,Android Lunch Kit,
,,,,,Google Women's Short Sleeve Badge Tee Red Heather,
,,,,,Android Youth Short Sleeve T-shirt Pewter,
,,,,,Plastic Sliding Flashlight,
,,,,,Google Men's Short Sleeve Performance Badge Tee Charcoal,
,,,,,Google Men's Softshell Jacket Black/Grey,
,,,,,Android 24 oz Button Lid Sport Water Bottle Green,
,,,,,Android 24 oz Button Lid Sport Water Bottle Smoke,
,,,,,Google 7-inch Dog Flying Disc,
,,,,,Large Recycled Journal/Pen Combo,
,,,,,Eco-Aware Large Recycled Journal Combo,
,,,,,Google Men's Performance Badge Tee Gunmetal,
,,,,,Pet Feeding Mat,
,,,,,Men's Pulse Softshell,
,,,,,Women's Google 1/4 Zip Performance Pullover,
,,,,,Google Tube Power Bank,
,,,,,Android Toddler Short Sleeve T-shirt Aqua,
,,,,,26 oz Double Wall Insulated Bottle,
,,,,,Google Men's Long Sleeve Pullover Badge Tee Heather,
,,,,,Google Women's Colorblock Tee White,
